3346,21LADY CO LTD,BBG000Q9G977
7777,3-D MATRIX LTD,BBG0022TB462
8341,77 BANK LTD/THE,BBG000BHPBL4
5391,A&A MATERIAL CORP,BBG000BL60H5
7745,A&D CO LTD,BBG000CR4RK0
6722,A&T CORP,BBG000PSCSC2
6156,A-ONE SEIMITSU INC,BBG000PNK062
2670,ABC-MART INC,BBG000C4J060
6087,ABIST CO LTD,BBG001BF7M50
1783,AC HOLDINGS CO LTD,BBG000F7P009
4813,ACCESS CO LTD,BBG000FGF6X1
2131,ACCORDIA GOLF CO LTD,BBG000BJPS24
8423,ACCRETIVE CO LTD,BBG000QM4VV5
5142,ACHILLES CORP,BBG000BL1H74
2498,ACKG LTD,BBG000BNNXQ0
6888,ACMOS INC,BBG000HR2YD0
8572,ACOM CO LTD,BBG000BKH691
3823,ACRODEA INC,BBG000L69VY7
6064,ACTCALL INC,BBG001BF7600
4589,ACUCELA INC,BBG005S7CGZ5
7778,AD ME TECH CO LTD,BBG00369B139
3250,AD WORKS CO LTD,BBG000TDB284
3837,AD-SOL NISSIN CORP,BBG000C1J2H0
2685,ADASTRIA HOLDINGS CO LTD,BBG000DJ4NV4
4401,ADEKA CORP,BBG000BJMFK5
8170,ADERANS CO LTD,BBG000BPV239
4929,ADJUVANT COSME JAPAN LTD,BBG001BFFR78
4712,ADORES INC,BBG000CDP1J7
6840,ADTEC CORP,BBG000BN8S97
6668,ADTEC PLASMA TECHNOLOGY CO,BBG000BNGY68
7463,ADVAN CO LTD,BBG000FG0BB0
8798,ADVANCE CREATE CO LTD,BBG000BNKYJ9
3773,ADVANCED MEDIA INC,BBG000BPJ1G1
5998,ADVANEX INC,BBG000BFHYX4
8769,ADVANTAGE RISK MANAGEMENT CO,BBG000QC1FG2
6857,ADVANTEST CORP,BBG000BGN014
6030,ADVENTURE INC,BBG007J7RVS0
2489,ADWAYS INC,BBG000BMMJW7
8267,AEON CO LTD,BBG000BN0FD8
9787,AEON DELIGHT CO LTD,BBG000FHK2T7
4343,AEON FANTASY CO LTD,BBG000LTB5H0
8570,AEON FINANCIAL SERVICE CO LT,BBG000DR42B4
7512,AEON HOKKAIDO CORP,BBG000H7HQ72
2653,AEON KYUSHU CO LTD,BBG000BZLNC2
8905,AEON MALL CO LTD,BBG000NH5J54
3758,AERIA INC,BBG000P5RS90
2927,AFC-HD AMS LIFE SCIENCE CO L,BBG000BRZHV7
8686,AFLAC INC,BBG000CZB103
7853,AGET INC,BBG000MNGPT0
9704,AGORA HOSPITALITY GROUP CO L,BBG000BNGQS1
9377,AGP CORP,BBG000D5LKQ7
4799,AGREX INC,BBG000CC3LC6
4955,AGRO-KANESHO CO LTD,BBG000BHGB61
3648,AGS CORP,BBG001BW9H25
2907,AHJIKAN CO LTD,BBG000BMRRS9
5852,AHRESTY CORP,BBG000BNWR92
3076,AI HOLDINGS CORP,BBG000HQM3N7
4206,AICA KOGYO CO LTD,BBG000BJG1K3
8527,AICHI BANK LTD/THE,BBG000BJ7347
6345,AICHI CORP,BBG000BLM4Z9
6623,AICHI ELECTRIC CO LTD,BBG000BLWPP2
5482,AICHI STEEL CORP,BBG000BL7YF2
7723,AICHI TOKEI DENKI CO LTD,BBG000BMG9K9
6118,AIDA ENGINEERING LTD,BBG000BLGYJ8
8515,AIFUL CORP,BBG000BX7FY6
9854,AIGAN CO LTD,BBG000BRJMV4
9909,AIKO CORP,BBG000BM9BK2
9627,AIN PHARMACIEZ INC,BBG000BF7229
7539,AINAVO HOLDINGS CO LTD,BBG000BQC434
6718,AIPHONE CO LTD,BBG000BG76P3
4088,AIR WATER INC,BBG000BK7K19
6944,AIREX INC,BBG000BKN1D0
8864,AIRPORT FACILITIES CO LTD,BBG000BG7NW8
6291,AIRTECH JAPAN LTD,BBG000BRVZF9
7283,AISAN INDUSTRY CO LTD,BBG000BC8KC4
4667,AISAN TECHNOLOGY CO LTD,BBG000BQJDT9
3170,AISEI PHARMACY CO LTD,BBG001BFTG31
7259,AISIN SEIKI CO LTD,BBG000BMCGL6
9381,AIT CORP,BBG000LJND73
8708,AIZAWA SECURITIES CO LTD,BBG000J10QS8
2802,AJINOMOTO CO INC,BBG000BJ8LL7
4659,AJIS CO LTD,BBG000BV0MT8
6022,AKASAKA DIESELS LTD,BBG000BNZ533
1997,AKATSUKI EAZIMA CO LTD,BBG000C2TH57
8737,AKATSUKI FINANCIAL GROUP INC,BBG000PN3JQ8
7238,AKEBONO BRAKE INDUSTRY CO,BBG000BM9GM9
1380,AKIKAWA FOODS & FARMS CO LTD,BBG000BVJLV7
8343,AKITA BANK LTD/THE,BBG000BHTHF4
7475,ALBIS CO LTD,BBG000BXGGF5
3036,ALCONIX CORP,BBG000NH9TQ5
2784,ALFRESA HOLDINGS CORP,BBG000Q04BP4
5933,ALINCO INC,BBG000BHDZB5
2454,ALL ABOUT INC,BBG000JPV268
6081,ALLIED ARCHITECTS INC,BBG000R6N6T6
6835,ALLIED TELESIS HOLDINGS KK,BBG000BQDP45
7859,ALMEDIO INC,BBG000BQ2J14
5928,ALMETAX MANUFACTURING CO LTD,BBG000BS1WY6
3028,ALPEN CO LTD,BBG000BK4F13
4760,ALPHA CO LTD,BBG000BSL4X7
3434,ALPHA CORP,BBG000GV2242
3322,ALPHA GROUP INC,BBG000N3XHZ5
4719,ALPHA SYSTEMS INC,BBG000BSXDS0
9467,ALPHAPOLIS CO LTD,BBG003S68MM8
3814,ALPHAX FOOD SYSTEM CO LTD,BBG000C2QB26
6816,ALPINE ELECTRONICS INC,BBG000BPCZY3
6770,ALPS ELECTRIC CO LTD,BBG000BGM1R5
9055,ALPS LOGISTICS CO LTD,BBG000C16YG5
9972,ALTECH CO LTD,BBG000CDFPM1
4641,ALTECH CORP,BBG000GTTKS2
3672,ALTPLUS INC,BBG0043PR4P7
6113,AMADA CO LTD,BBG000BLGN39
3070,AMAGASA CO LTD,BBG000F54426
2402,AMANA INC,BBG000BYGYN5
6436,AMANO CORP,BBG000BBWMW3
5952,AMATEI INC,BBG000BQYLZ7
6076,AMAZE CO LTD,BBG004T860C2
3300,AMBITION CORP,BBG006Z4HSH1
8685,AMERICAN INTERNATIONAL GROUP,BBG000CZCC80
2195,AMITA HOLDINGS CO LTD,BBG000PZHP82
2753,AMIYAKI TEI CO LTD,BBG000PLMYZ8
4301,AMUSE INC,BBG000D677F2
9202,ANA HOLDINGS INC,BBG000BH20P9
8928,ANABUKI KOSAN INC,BBG000K6V0K6
3189,ANAP INC,BBG005DWNDV5
4640,ANDOR CO LTD,BBG000GQ1208
6381,ANEST IWATA CORP,BBG000BLQL05
4563,ANGES MG INC,BBG000P1KHL6
8715,ANICOM HOLDINGS INC,BBG000Q84C20
7562,ANRAKUTEI CO LTD,BBG000BYW809
6754,ANRITSU CORP,BBG000BLXXT0
2830,AOHATA CORP,BBG000BQ0115
6832,AOI ELECTRONIC CO LTD,BBG000BZVH43
9607,AOI PRO INC,BBG000BH0T78
8214,AOKI HOLDINGS INC,BBG000BPW7G3
9977,AOKI SUPER CO LTD,BBG000CK4F67
8342,AOMORI BANK LTD/THE,BBG000BHSJD3
8219,AOYAMA TRADING CO LTD,BBG000BG2D46
8929,AOYAMA ZAISAN NETWORKS CO LT,BBG000PNCLX5
8304,AOZORA BANK LTD,BBG000BK13W9
3175,AP COMPANY CO LTD,BBG001BNG444
8889,APAMANSHOP HOLDINGS CO LTD,BBG000C1ZF47
6300,APIC YAMADA CORP,BBG000CHXT80
3727,APLIX IP HOLDINGS CORP,BBG000BHXQ50
8589,APLUS FINANCIAL CO LTD,BBG000BGW3J9
2788,APPLE INTERNATIONAL CO LTD,BBG000C20H76
3020,APPLIED CO LTD,BBG000M1F4Q9
4356,APPLIED TECHNOLOGY CO LTD,BBG000BPR8M0
4968,ARAKAWA CHEMICAL INDUSTRIES,BBG000BGLBZ5
2733,ARATA CORP,BBG000BN8V90
7305,ARAYA INDUSTRIAL CO LTD,BBG000BMDVT4
2341,ARBEIT-TIMES CO LTD,BBG000NC4S29
9842,ARC LAND SAKAMOTO CO LTD,BBG000BL6VJ5
